tenure,monthly_charges,total_charges,num_products,support_tickets,login_frequency,contract_type,payment_method,senior_citizen,tech_support,online_backup,churn
69,118.41,7915.61,3,2,27,Month-to-month,Electronic check,0,Yes,No,0
22,86.79,1816.69,3,1,5,One year,Bank transfer,0,No,Yes,0
67,83.47,5323.74,2,2,15,Month-to-month,Electronic check,0,Yes,Yes,0
26,36.6,943.88,2,0,27,One year,Mailed check,0,No,Yes,0
16,108.19,1548.2,1,1,26,Month-to-month,Bank transfer,0,No,No,0
51,62.75,2720.75,1,0,17,Two year,Electronic check,0,No,No,1
57,36.22,1839.08,2,1,19,Month-to-month,Electronic check,0,No,Yes,0
29,21.26,544.21,3,1,17,Two year,Mailed check,0,No,Yes,0
69,75.98,4976.69,2,2,0,One year,Electronic check,0,No,No,0
47,72.74,3230.94,1,0,27,Month-to-month,Electronic check,0,No,Yes,0
62,91.94,5352.67,1,2,2,One year,Credit card,0,No,No,0
69,109.03,6412.94,1,0,14,Month-to-month,Credit card,0,No,No,1
16,27.94,428.85,2,2,19,Month-to-month,Credit card,0,No,No,1
48,93.15,4017.51,4,1,9,Month-to-month,Credit card,0,Yes,No,0
39,38.74,1434.95,2,1,20,Month-to-month,Electronic check,1,No,Yes,0
33,105.82,3259.79,3,1,4,Two year,Electronic check,0,Yes,No,0
23,101.91,2112.84,2,1,14,Month-to-month,Electronic check,0,Yes,No,0
10,74.08,644.63,2,0,22,One year,Credit card,1,No,No,0
69,91.02,5427.27,1,1,13,Month-to-month,Bank transfer,1,No,Yes,0
34,51.44,1704.76,3,2,14,One year,Electronic check,0,No,No,0
52,67.12,3447.52,3,0,9,Month-to-month,Mailed check,0,No,No,0
10,102.16,967.93,1,1,23,One year,Mailed check,0,No,No,0
19,65.93,1084.2,2,1,8,One year,Mailed check,0,Yes,Yes,0
58,55.78,2945.05,2,1,11,One year,Credit card,0,No,Yes,0
1,69.42,66.6,2,0,6,Month-to-month,Mailed check,1,Yes,No,1
69,102.82,6860.27,4,0,4,One year,Credit card,0,Yes,No,0
4,53.52,185.76,2,0,24,Month-to-month,Mailed check,0,No,Yes,0
16,37.38,508.37,2,2,23,Month-to-month,Bank transfer,0,Yes,No,0
24,91.2,2094.29,1,0,9,Month-to-month,Credit card,0,Yes,Yes,0
2,102.6,185.4,1,3,24,Month-to-month,Credit card,0,No,Yes,1
32,30.06,854.35,1,3,25,Month-to-month,Electronic check,0,Yes,Yes,0
24,43.99,899.44,1,1,7,One year,Electronic check,0,Yes,Yes,0
12,34.2,382.1,3,1,21,Month-to-month,Mailed check,0,Yes,Yes,0
50,54.79,2678.33,3,2,19,Month-to-month,Mailed check,1,Yes,Yes,0
35,65.04,2261.93,1,2,24,Month-to-month,Bank transfer,1,Yes,Yes,0
33,94.88,2927.09,3,3,15,One year,Credit card,0,No,No,0
33,85.11,2604.08,1,3,11,One year,Electronic check,1,Yes,No,0
61,82.09,4320.25,2,2,8,Month-to-month,Mailed check,0,No,No,0
51,55.24,2626.6,1,3,9,One year,Electronic check,0,Yes,Yes,0
43,104.14,4061.55,2,0,15,One year,Credit card,0,No,Yes,0
12,67.13,758.09,1,1,9,Month-to-month,Credit card,0,No,No,1
67,117.91,7175.61,2,0,8,One year,Mailed check,0,No,No,0
65,83.41,4803.83,2,1,29,One year,Electronic check,0,No,Yes,0
33,32.63,930.61,4,1,25,One year,Bank transfer,0,No,Yes,0
40,87.62,3144.64,1,2,2,Month-to-month,Bank transfer,0,Yes,No,1
43,52.51,1951.97,1,0,26,Month-to-month,Mailed check,0,No,No,1
44,88.63,3418.24,1,2,27,Month-to-month,Credit card,0,No,No,1
29,26.96,780.35,2,1,30,One year,Credit card,0,Yes,No,0
13,37.49,446.73,1,2,18,Two year,Bank transfer,1,Yes,No,0
12,105.57,1177.88,3,0,10,Month-to-month,Bank transfer,0,Yes,No,1
46,42.72,1927.87,2,0,5,Month-to-month,Electronic check,0,No,Yes,0
2,103.7,207.26,2,0,5,One year,Bank transfer,0,Yes,No,0
35,47.93,1572.55,2,1,14,Two year,Mailed check,0,Yes,Yes,0
8,84.29,655.35,1,1,28,Two year,Electronic check,0,No,No,0
26,89.42,2090.2,1,2,14,One year,Electronic check,0,No,No,1
34,71.27,2170.83,2,1,12,Two year,Electronic check,0,Yes,No,0
7,50.53,322.02,2,1,21,Month-to-month,Electronic check,0,Yes,No,0
68,41.26,2667.85,1,3,4,Month-to-month,Mailed check,0,No,Yes,0
58,23.32,1288.08,1,2,13,Month-to-month,Bank transfer,0,No,Yes,0
29,50.39,1311.21,4,1,20,One year,Bank transfer,0,No,No,0
36,85.32,2672.17,1,1,1,Month-to-month,Mailed check,0,No,No,1
21,113.83,2258.62,3,2,29,Month-to-month,Mailed check,0,Yes,Yes,0
36,107.12,3352.1,3,0,22,Month-to-month,Credit card,0,Yes,No,1
10,96.61,905.02,1,2,11,Month-to-month,Mailed check,1,No,Yes,0
24,98.84,2263.07,1,1,19,Two year,Credit card,0,No,Yes,0
64,86.5,5287.39,1,2,13,Month-to-month,Mailed check,0,No,Yes,0
49,46.03,2172.06,3,2,18,Month-to-month,Bank transfer,0,No,No,0
36,110.72,3909.9,2,1,23,One year,Electronic check,0,No,Yes,0
24,87.07,1932.94,3,2,19,Month-to-month,Bank transfer,1,Yes,No,0
23,76.04,1678.15,4,0,14,One year,Credit card,0,Yes,Yes,0
62,31.1,1818.05,3,2,26,Two year,Credit card,0,Yes,Yes,0
37,64.71,2102.16,1,0,19,Two year,Credit card,1,Yes,No,0
12,66.04,676.66,1,1,23,Two year,Electronic check,1,Yes,No,0
55,106.46,5226.92,3,2,16,Month-to-month,Bank transfer,0,No,Yes,0
13,74.66,889.49,1,4,24,One year,Mailed check,0,Yes,Yes,0
23,58.04,1258.25,1,1,13,Month-to-month,Bank transfer,0,Yes,No,0
30,117.68,3450.94,3,0,22,Month-to-month,Electronic check,0,Yes,Yes,0
17,31.07,464.51,2,0,30,Month-to-month,Credit card,1,No,No,1
62,62.25,3353.26,4,2,27,Month-to-month,Credit card,0,No,No,0
13,24.2,312.88,3,3,17,Two year,Mailed check,0,No,Yes,0
59,93.99,4803.47,1,1,26,Month-to-month,Electronic check,0,No,No,1
19,111.81,1958.21,4,0,27,One year,Electronic check,0,No,No,0
49,48.0,2205.79,1,1,21,Month-to-month,Bank transfer,0,Yes,Yes,0
12,105.83,1182.59,2,0,23,Month-to-month,Electronic check,0,Yes,Yes,1
61,49.22,2590.8,2,2,26,Two year,Credit card,0,Yes,Yes,0
19,111.08,1812.0,1,1,4,Month-to-month,Bank transfer,0,No,No,0
9,95.4,743.4,2,1,21,One year,Bank transfer,1,Yes,No,0
71,100.49,6691.28,1,2,11,Month-to-month,Bank transfer,0,Yes,Yes,0
28,21.8,568.68,2,1,9,Month-to-month,Electronic check,0,No,Yes,0
52,116.28,5351.58,2,3,7,Month-to-month,Credit card,0,No,Yes,0
16,92.67,1402.16,3,2,28,Two year,Bank transfer,0,No,Yes,0
69,50.48,3389.11,3,1,5,Month-to-month,Credit card,0,Yes,Yes,0
12,102.94,1057.69,1,3,27,Month-to-month,Mailed check,0,No,No,0
25,48.15,1113.13,2,0,24,Month-to-month,Bank transfer,0,No,Yes,0
52,107.28,5318.58,2,2,14,One year,Electronic check,0,Yes,Yes,0
53,31.26,1470.97,1,2,11,One year,Bank transfer,0,No,No,0
23,90.37,1862.69,3,0,24,One year,Bank transfer,0,No,Yes,0
16,74.07,1116.44,3,0,24,Month-to-month,Bank transfer,1,Yes,Yes,0
57,29.65,1664.18,1,2,5,Two year,Bank transfer,0,Yes,Yes,0
39,44.19,1674.27,2,3,11,One year,Electronic check,1,No,Yes,0
53,21.24,1055.33,1,2,14,Two year,Credit card,0,Yes,No,0
42,66.88,2695.29,2,2,11,Two year,Credit card,0,No,No,0
58,50.13,2630.52,1,0,8,One year,Electronic check,0,Yes,Yes,0
39,79.84,2946.07,4,1,18,Month-to-month,Credit card,0,No,Yes,1
14,49.72,640.34,3,1,20,Two year,Electronic check,0,No,Yes,0
5,49.99,219.58,2,0,1,Two year,Bank transfer,0,No,No,1
35,94.32,3153.51,2,1,27,Month-to-month,Electronic check,0,Yes,No,0
18,24.81,416.87,4,0,12,Month-to-month,Credit card,0,Yes,No,0
9,110.29,897.11,2,2,12,Two year,Electronic check,0,Yes,Yes,0
58,105.23,6022.17,1,2,7,Month-to-month,Mailed check,0,Yes,Yes,0
17,86.78,1258.6,2,2,26,Two year,Mailed check,0,Yes,No,0
7,79.32,498.25,3,0,12,Month-to-month,Electronic check,0,No,No,0
46,109.23,4313.76,2,2,3,Month-to-month,Bank transfer,0,Yes,No,0
13,38.53,483.35,3,1,5,Month-to-month,Electronic check,0,No,Yes,0
40,27.9,1066.13,3,0,5,Month-to-month,Bank transfer,0,No,No,1
42,43.95,1660.76,3,1,20,Month-to-month,Credit card,0,No,No,0
9,99.46,851.59,4,0,11,Month-to-month,Credit card,0,No,No,0
50,23.47,1067.17,1,4,11,One year,Credit card,0,Yes,Yes,0
27,78.28,2036.28,2,3,16,Two year,Mailed check,0,No,No,0
66,119.54,7243.7,3,5,26,Month-to-month,Electronic check,0,No,Yes,1
5,105.57,481.32,3,0,6,One year,Mailed check,1,No,No,0
29,72.14,2071.58,2,2,25,One year,Electronic check,0,No,Yes,0
37,26.36,865.73,1,2,14,One year,Credit card,0,No,No,0
38,103.14,3402.23,3,0,23,One year,Electronic check,0,Yes,No,0
8,79.9,599.37,3,2,16,Month-to-month,Credit card,0,Yes,Yes,0
65,31.49,2037.43,1,2,9,Month-to-month,Electronic check,0,No,No,1
17,29.39,453.0,2,0,22,Month-to-month,Credit card,0,No,Yes,1
71,110.96,6769.75,1,2,19,Month-to-month,Electronic check,0,No,Yes,1
45,86.92,3523.76,2,0,5,One year,Electronic check,0,Yes,Yes,0
4,102.93,381.21,1,3,8,Month-to-month,Bank transfer,0,No,Yes,1
36,107.9,3396.09,2,2,14,Two year,Electronic check,0,No,No,0
70,77.18,5125.53,2,1,15,Two year,Bank transfer,0,Yes,Yes,0
31,71.74,2223.19,2,3,20,Two year,Bank transfer,0,Yes,No,0
19,63.04,1099.26,3,2,7,Two year,Electronic check,0,Yes,No,0
61,51.69,2847.9,3,1,15,Month-to-month,Credit card,0,No,No,0
54,63.46,3118.79,1,1,4,One year,Mailed check,0,No,No,0
39,97.39,3294.08,1,1,17,Month-to-month,Bank transfer,0,Yes,Yes,0
19,80.19,1496.93,3,1,19,Two year,Mailed check,0,Yes,No,0
39,109.25,3886.76,1,3,13,Two year,Bank transfer,0,No,Yes,0
67,64.34,3914.58,4,2,1,Two year,Electronic check,0,No,No,0
45,80.71,3446.55,3,2,22,Month-to-month,Electronic check,0,No,No,1
13,83.13,990.24,2,2,22,One year,Mailed check,0,No,No,0
58,79.17,4349.57,4,0,29,Month-to-month,Mailed check,0,Yes,Yes,0
20,90.26,1551.06,1,1,30,Month-to-month,Mailed check,0,No,No,0
72,43.74,3061.28,2,0,2,One year,Bank transfer,0,Yes,No,0
61,71.24,4306.86,2,2,13,Month-to-month,Bank transfer,0,No,No,0
39,30.42,1123.88,2,2,28,Two year,Electronic check,0,Yes,Yes,0
1,58.45,58.05,4,3,6,Month-to-month,Electronic check,0,No,No,0
3,68.77,180.05,1,0,14,Two year,Mailed check,0,Yes,Yes,0
62,85.22,4869.47,2,3,16,Month-to-month,Electronic check,0,No,No,1
63,115.05,6815.23,2,1,0,Two year,Electronic check,0,Yes,No,0
25,80.07,1876.16,3,0,8,Two year,Electronic check,0,No,Yes,0
56,94.36,4809.74,1,1,21,Two year,Credit card,0,No,Yes,0
33,70.63,2099.37,2,1,28,Month-to-month,Bank transfer,0,Yes,No,0
38,83.41,2754.44,3,0,13,Two year,Electronic check,0,No,Yes,0
6,27.09,147.71,1,1,15,Month-to-month,Electronic check,0,No,Yes,0
58,45.44,2304.5,3,4,27,Month-to-month,Bank transfer,0,No,No,1
44,56.19,2373.85,2,1,20,Month-to-month,Mailed check,0,No,No,0
45,67.25,2667.11,3,1,12,Two year,Bank transfer,0,No,No,0
32,24.56,674.94,3,2,5,Month-to-month,Credit card,0,No,Yes,0
45,34.0,1427.27,1,1,21,Two year,Bank transfer,1,No,Yes,0
61,47.68,2731.89,2,0,0,One year,Electronic check,0,Yes,No,0
47,117.15,5400.26,3,1,20,Month-to-month,Bank transfer,0,Yes,No,0
21,53.13,1044.93,2,0,24,Two year,Credit card,0,No,No,0
36,68.2,2214.15,4,1,3,Month-to-month,Bank transfer,0,Yes,No,0
19,39.61,730.35,2,1,2,Two year,Bank transfer,0,No,Yes,0
20,81.08,1509.78,1,2,16,Month-to-month,Electronic check,0,Yes,Yes,1
57,48.07,2361.58,2,1,29,One year,Mailed check,0,No,No,0
18,40.7,684.89,4,1,30,Month-to-month,Bank transfer,0,No,No,1
47,71.66,3321.55,2,2,1,Month-to-month,Credit card,0,No,No,0
49,20.55,915.77,3,2,18,Month-to-month,Bank transfer,0,No,No,1
14,20.77,260.09,3,2,19,Month-to-month,Bank transfer,0,No,No,0
15,41.91,547.88,2,2,22,Month-to-month,Electronic check,0,Yes,No,0
31,23.67,640.37,1,0,21,Month-to-month,Electronic check,0,Yes,Yes,0
1,30.8,28.18,3,2,26,Month-to-month,Mailed check,0,Yes,No,1
54,53.89,2733.57,2,1,7,One year,Electronic check,0,No,No,0
3,100.26,259.3,3,2,29,One year,Bank transfer,0,Yes,Yes,0
16,77.2,1224.0,2,3,24,Two year,Electronic check,1,Yes,No,1
57,71.27,3913.18,2,1,14,One year,Bank transfer,0,No,Yes,0
12,49.35,555.48,3,2,5,One year,Credit card,0,No,No,0
16,113.18,1764.28,2,0,22,One year,Mailed check,0,Yes,No,0
72,59.7,3705.34,2,0,19,Month-to-month,Electronic check,1,Yes,No,0
24,28.71,634.97,2,4,1,One year,Bank transfer,0,No,No,0
28,81.71,2160.93,2,1,24,Month-to-month,Credit card,0,No,No,1
8,31.38,244.59,2,1,24,Two year,Bank transfer,1,Yes,No,0
36,54.52,1898.97,3,0,14,One year,Electronic check,0,No,No,0
8,70.74,504.55,2,3,19,Month-to-month,Electronic check,0,No,Yes,0
58,107.42,6175.11,2,2,11,One year,Electronic check,1,No,Yes,0
60,69.35,3614.46,3,2,2,Month-to-month,Electronic check,0,No,No,1
50,90.23,4427.0,1,1,9,Month-to-month,Credit card,0,No,No,0
28,119.28,3325.28,1,2,13,Month-to-month,Credit card,0,No,Yes,0
41,33.15,1191.39,4,0,26,One year,Electronic check,0,Yes,Yes,0
64,47.47,2911.42,3,2,21,One year,Electronic check,0,Yes,Yes,0
27,59.46,1374.31,2,2,29,Two year,Electronic check,0,No,No,0
63,62.18,3567.97,2,2,13,Month-to-month,Credit card,1,No,No,0
17,61.1,963.33,1,2,2,One year,Mailed check,0,No,Yes,0
33,110.76,3425.16,2,2,0,One year,Bank transfer,0,Yes,No,0
29,91.4,2625.13,2,2,19,Month-to-month,Mailed check,0,No,Yes,0
13,80.79,998.64,2,0,0,One year,Bank transfer,0,Yes,No,0
46,50.94,2160.92,2,1,1,Month-to-month,Mailed check,0,No,No,0
35,102.38,3481.0,1,1,18,Month-to-month,Electronic check,1,Yes,No,1
6,115.51,687.92,1,3,23,Month-to-month,Bank transfer,0,No,Yes,0
69,102.12,6012.66,4,1,9,One year,Bank transfer,0,No,Yes,0
47,20.16,945.04,2,5,3,Month-to-month,Electronic check,0,Yes,No,1
25,83.64,1804.37,2,3,3,Month-to-month,Electronic check,0,Yes,Yes,0
66,25.11,1611.12,1,3,12,Month-to-month,Mailed check,0,No,No,0
10,45.76,408.2,1,2,25,Month-to-month,Mailed check,0,No,No,0
56,25.95,1264.03,3,1,8,Month-to-month,Bank transfer,0,Yes,Yes,0
30,80.38,2208.79,2,3,6,Month-to-month,Credit card,1,Yes,No,0
5,88.66,419.62,2,2,15,One year,Electronic check,0,Yes,Yes,0
33,31.45,941.48,1,0,17,Month-to-month,Electronic check,0,No,No,1
65,58.38,3256.55,3,3,2,One year,Electronic check,1,Yes,No,0
18,65.62,1110.19,1,1,19,One year,Mailed check,0,Yes,Yes,0
49,56.91,2747.77,1,1,19,Month-to-month,Mailed check,0,No,No,0
11,32.1,320.43,2,2,9,Month-to-month,Bank transfer,1,No,Yes,1
26,61.89,1419.99,1,1,23,Two year,Electronic check,0,Yes,No,0
63,95.12,5491.5,1,0,25,Month-to-month,Bank transfer,0,No,Yes,0
59,27.1,1370.66,2,3,29,Month-to-month,Credit card,0,No,No,0
27,28.02,736.17,3,3,25,Month-to-month,Credit card,0,No,No,0
49,55.48,2647.71,3,3,21,One year,Credit card,0,Yes,Yes,0
33,114.17,3534.77,2,1,15,One year,Bank transfer,0,No,No,0
1,86.86,78.43,1,2,2,Two year,Credit card,0,Yes,No,0
21,87.87,1789.85,1,0,10,Two year,Electronic check,0,Yes,No,0
55,56.19,2884.02,4,1,24,Month-to-month,Electronic check,0,Yes,No,0
6,79.37,463.79,2,1,9,Month-to-month,Electronic check,0,No,No,1
69,21.01,1369.55,3,1,15,Month-to-month,Bank transfer,0,No,Yes,0
5,83.61,404.53,1,1,7,Month-to-month,Credit card,0,No,No,1
3,111.33,313.88,2,0,8,Month-to-month,Electronic check,0,Yes,No,1
53,81.26,3928.31,1,4,14,Month-to-month,Bank transfer,0,No,Yes,1
23,107.37,2453.93,2,3,20,Month-to-month,Bank transfer,0,No,Yes,0
53,92.4,4560.11,4,3,2,Month-to-month,Credit card,0,Yes,No,0
37,32.06,1115.95,4,5,3,Month-to-month,Bank transfer,0,No,No,0
17,110.25,1655.1,2,3,29,Two year,Credit card,1,Yes,No,0
1,26.64,25.14,2,3,12,One year,Electronic check,0,No,No,0
51,73.4,3502.85,4,2,11,Two year,Electronic check,0,Yes,Yes,0
45,34.21,1351.21,3,1,20,Month-to-month,Mailed check,0,No,No,0
4,21.17,72.73,1,1,8,Month-to-month,Mailed check,0,No,No,0
62,62.2,3627.54,2,2,24,Month-to-month,Electronic check,0,No,Yes,0
65,49.5,3103.45,1,0,13,Month-to-month,Bank transfer,0,Yes,Yes,0
32,68.6,2038.27,2,2,18,Month-to-month,Bank transfer,0,No,No,0
34,77.72,2335.99,2,4,6,Two year,Bank transfer,0,Yes,No,0
72,24.37,1666.87,2,2,15,Two year,Electronic check,0,No,Yes,0
39,32.3,1085.88,2,3,21,Month-to-month,Mailed check,1,No,Yes,0
26,75.86,1807.22,1,0,30,Month-to-month,Mailed check,0,Yes,Yes,0
34,54.32,1615.11,2,0,19,Month-to-month,Electronic check,0,Yes,Yes,1
54,92.92,4403.86,3,2,4,Month-to-month,Bank transfer,1,No,Yes,0
3,85.23,225.1,3,3,29,Month-to-month,Electronic check,0,No,No,0
50,104.56,4747.06,2,2,30,Month-to-month,Electronic check,0,Yes,Yes,1
12,89.25,918.57,4,0,9,Month-to-month,Bank transfer,1,Yes,No,1
65,62.99,3724.5,4,1,17,Month-to-month,Electronic check,0,Yes,No,0
54,87.3,4368.91,1,1,10,Month-to-month,Credit card,1,No,No,1
5,47.54,219.28,1,2,6,Month-to-month,Mailed check,0,No,No,1
57,50.63,2618.73,3,1,13,Month-to-month,Credit card,0,No,Yes,0
17,98.9,1640.73,3,1,19,Two year,Electronic check,0,No,Yes,0
47,64.64,2648.6,4,2,17,Month-to-month,Bank transfer,0,No,Yes,0
23,99.84,2126.06,3,2,10,Two year,Electronic check,0,No,No,0
14,102.24,1229.98,2,1,21,Two year,Credit card,0,Yes,Yes,0
66,105.76,6007.64,2,0,26,Two year,Mailed check,0,No,No,0
51,111.66,5330.66,1,1,11,One year,Electronic check,0,Yes,No,0
38,63.1,2241.71,1,2,17,One year,Credit card,0,Yes,No,0
64,51.89,3260.2,2,2,25,Two year,Mailed check,0,No,No,0
38,78.22,2775.24,2,1,1,Month-to-month,Electronic check,0,Yes,No,0
50,57.12,2838.77,2,0,22,Month-to-month,Mailed check,0,No,No,1
30,80.11,2060.36,3,3,0,Two year,Bank transfer,1,No,No,1
51,90.56,3993.67,1,4,22,One year,Electronic check,0,No,Yes,0
63,88.84,4794.38,2,0,9,Two year,Mailed check,0,Yes,No,0
52,57.46,2622.77,1,2,20,One year,Electronic check,0,Yes,No,0
38,36.69,1298.28,2,6,0,Two year,Bank transfer,0,Yes,Yes,0
30,63.05,1790.94,3,1,5,One year,Bank transfer,0,No,No,0
51,34.26,1497.12,3,3,6,One year,Mailed check,0,No,No,0
5,109.01,540.63,4,1,16,One year,Mailed check,1,No,No,0
29,54.59,1545.63,1,0,8,Two year,Electronic check,0,No,No,0
4,35.45,126.84,2,1,30,Two year,Electronic check,1,No,No,0
10,22.54,194.2,2,2,6,Two year,Electronic check,0,No,Yes,0
56,84.58,4146.71,2,1,16,One year,Mailed check,0,No,Yes,0
17,83.69,1236.41,3,2,2,Month-to-month,Mailed check,0,Yes,No,1
17,54.06,798.16,3,1,15,Month-to-month,Credit card,0,No,No,0
69,27.17,1739.34,3,3,4,Two year,Electronic check,0,No,No,0
34,60.96,1838.18,1,2,19,One year,Bank transfer,0,Yes,Yes,0
6,51.12,277.19,3,2,17,Month-to-month,Mailed check,1,Yes,Yes,0
53,87.71,4641.31,1,3,30,Month-to-month,Mailed check,0,Yes,No,0
66,80.58,5066.44,3,0,0,Two year,Credit card,0,No,Yes,0
43,56.46,2409.2,2,2,3,Two year,Electronic check,0,Yes,Yes,0
23,41.79,837.55,2,2,22,Two year,Electronic check,0,No,No,0
55,118.8,5928.43,2,2,10,One year,Bank transfer,0,No,Yes,0
16,65.4,976.51,4,5,19,Month-to-month,Electronic check,0,No,No,0
8,88.83,612.23,1,2,8,Month-to-month,Electronic check,0,Yes,Yes,0
4,34.06,115.89,2,0,29,Month-to-month,Electronic check,0,Yes,Yes,0
4,68.56,260.68,3,2,7,Two year,Electronic check,1,Yes,No,0
56,22.75,1205.55,2,4,7,Month-to-month,Bank transfer,0,Yes,No,0
25,70.55,1607.87,1,0,4,One year,Electronic check,0,No,Yes,1
67,116.4,7201.78,2,1,11,One year,Mailed check,0,Yes,No,0
67,58.42,3570.93,2,3,30,One year,Mailed check,0,No,Yes,1
27,23.9,550.83,4,1,0,Two year,Mailed check,0,Yes,No,0
32,23.1,665.51,3,0,14,Month-to-month,Credit card,0,No,Yes,0
50,58.8,2577.09,2,1,24,One year,Electronic check,0,No,No,0
61,36.0,1899.02,4,1,17,Month-to-month,Credit card,0,No,No,0
51,22.34,1131.94,2,2,5,Month-to-month,Bank transfer,0,No,Yes,0
19,95.62,1707.6,1,0,9,Month-to-month,Bank transfer,0,Yes,Yes,1
21,65.85,1326.57,1,1,13,Month-to-month,Mailed check,1,No,No,1
5,48.92,219.48,2,1,20,One year,Mailed check,0,No,Yes,0
42,110.01,4199.83,1,2,25,One year,Credit card,0,No,Yes,0
61,31.61,1707.5,4,4,28,Month-to-month,Credit card,0,No,Yes,0
22,115.59,2198.52,3,2,30,Month-to-month,Electronic check,1,No,No,0
21,51.4,946.48,1,0,7,One year,Electronic check,1,No,No,0
70,108.84,7387.4,2,2,26,Two year,Mailed check,0,No,Yes,0
1,80.29,76.41,3,1,2,Month-to-month,Credit card,0,No,No,1
5,102.67,478.46,4,1,21,One year,Electronic check,0,Yes,No,0
12,118.4,1308.93,3,0,21,One year,Bank transfer,1,No,Yes,0
46,48.84,2220.5,2,1,25,One year,Bank transfer,1,No,No,0
34,116.11,3398.65,3,1,18,Month-to-month,Bank transfer,1,No,No,0
49,58.95,2576.85,2,1,11,One year,Bank transfer,1,No,No,0
45,58.55,2377.84,2,2,11,One year,Mailed check,1,Yes,Yes,0
27,54.04,1411.46,1,1,14,One year,Credit card,0,No,No,0
26,74.14,1925.48,1,1,27,One year,Bank transfer,0,No,No,0
47,35.41,1474.71,2,3,6,Two year,Bank transfer,0,No,No,0
56,75.37,4141.14,1,2,26,Month-to-month,Electronic check,1,Yes,No,1
63,74.17,4553.99,1,1,3,Two year,Bank transfer,0,No,Yes,0
48,96.19,4080.14,3,4,20,One year,Electronic check,0,No,No,0
61,103.36,5736.88,1,1,8,One year,Electronic check,0,No,No,0
26,64.04,1517.6,2,1,21,Month-to-month,Bank transfer,0,No,Yes,0
36,50.23,1802.37,2,1,15,Month-to-month,Mailed check,0,No,Yes,0
1,45.93,40.29,4,0,25,One year,Bank transfer,0,No,Yes,0
8,39.46,306.17,2,1,30,One year,Electronic check,0,No,No,0
52,25.76,1205.74,1,0,12,Month-to-month,Bank transfer,0,Yes,No,0
47,54.24,2446.37,2,1,3,One year,Mailed check,0,Yes,No,0
56,47.02,2404.04,3,1,23,Month-to-month,Bank transfer,0,Yes,Yes,0
14,116.64,1529.68,4,3,8,Two year,Electronic check,1,No,No,0
28,75.77,2068.29,2,2,25,Two year,Bank transfer,0,No,No,0
2,54.73,106.24,2,0,20,Month-to-month,Credit card,0,No,Yes,1
26,78.05,1988.64,4,1,17,Two year,Electronic check,0,No,Yes,0
14,33.92,407.89,1,2,14,Two year,Electronic check,0,No,Yes,0
59,64.4,3624.09,2,2,14,Month-to-month,Bank transfer,0,No,No,1
56,82.62,4029.86,2,6,5,One year,Bank transfer,0,Yes,No,0
7,68.89,439.97,1,1,10,Month-to-month,Bank transfer,0,No,No,0
3,60.18,168.32,2,2,30,One year,Bank transfer,0,Yes,Yes,1
23,119.38,2499.75,1,4,27,Month-to-month,Mailed check,0,Yes,No,1
18,108.03,1804.42,3,0,7,Month-to-month,Mailed check,0,Yes,No,0
38,82.34,3127.29,4,0,28,Month-to-month,Electronic check,0,Yes,No,1
15,76.94,1004.39,1,1,20,Month-to-month,Electronic check,1,Yes,Yes,1
64,82.07,4996.78,3,3,16,Two year,Bank transfer,0,No,No,0
28,40.13,1021.84,1,0,23,Month-to-month,Electronic check,0,Yes,No,1
39,59.51,2019.06,2,0,24,Month-to-month,Credit card,0,No,Yes,0
57,23.95,1192.88,1,1,16,Two year,Credit card,0,Yes,Yes,0
17,67.55,1139.61,4,0,23,Month-to-month,Credit card,0,Yes,No,1
44,74.3,3210.16,3,1,25,One year,Credit card,0,No,No,0
25,42.77,1054.34,3,2,27,Two year,Mailed check,0,No,No,0
17,116.4,1976.29,3,2,17,Two year,Credit card,0,No,Yes,0
13,110.95,1271.07,2,2,3,Month-to-month,Electronic check,0,No,Yes,1
25,92.21,2082.37,4,2,28,Month-to-month,Electronic check,0,No,Yes,1
68,73.34,4739.67,3,0,30,Two year,Bank transfer,0,No,No,0
10,107.0,987.15,4,1,14,Month-to-month,Electronic check,1,No,No,0
67,33.07,2022.39,2,0,1,Month-to-month,Credit card,0,No,No,1
18,99.05,1611.16,1,2,1,Month-to-month,Bank transfer,0,Yes,Yes,0
34,32.48,1037.03,2,2,9,Month-to-month,Bank transfer,0,No,No,0
8,99.42,744.73,1,2,2,One year,Electronic check,0,Yes,No,1
40,47.58,1663.81,2,1,29,One year,Bank transfer,0,No,No,0
42,107.71,4165.36,2,3,7,Two year,Electronic check,0,No,No,0
41,114.4,4376.24,2,2,19,One year,Credit card,0,Yes,No,0
6,34.88,195.79,1,2,6,Month-to-month,Electronic check,0,Yes,No,0
52,66.27,3037.74,1,3,11,Month-to-month,Bank transfer,0,Yes,Yes,0
26,118.1,2951.89,2,2,25,Two year,Electronic check,0,No,No,0
64,68.34,3734.23,4,0,18,Month-to-month,Electronic check,0,Yes,Yes,0
59,106.35,5667.42,2,1,25,Month-to-month,Mailed check,0,Yes,No,0
56,78.87,4271.11,2,1,27,Two year,Electronic check,0,No,No,1
59,57.53,3172.23,3,1,29,One year,Bank transfer,0,No,Yes,0
70,48.58,3023.73,2,0,14,Month-to-month,Electronic check,0,Yes,No,0
33,40.32,1269.68,1,0,13,Two year,Electronic check,0,Yes,No,0
53,96.18,4766.75,2,0,15,Two year,Bank transfer,1,Yes,No,0
